TRANSACTIONID,ACCOUNTFROM,ACCOUNTTO,BANKIDFROM,BANKIDTO,TRANSACTIONAMOUNT,EXCHANGERATE,TRANSACTIONDATE,TRANSACTIONTYPE,INTERIMBALANCE,ACCOUNTTO_INTERIMBALANCE,CURRENCY,QUOTECURRENCY,PAYMENTMODE,OVERRIDEFLAG,NARRATIVE
415061,4913,0,29,0,0.05,1.0,2024-09-11 16:03:06,153,9748.57,251.23,SGD,SGD,Cash,True,gium_gium
415062,4913,4908,29,29,1.23,1.0,2024-09-11 16:06:13,301,9747.29,252.46,SGD,SGD,Cash,False,testing
415063,4913,0,29,0,0.05,1.0,2024-09-11 16:06:13,153,9747.29,252.46,SGD,SGD,Cash,True,testing
415064,4905,4909,29,29,5.23,1.0,2024-09-11 16:07:35,301,9794.62,10205.23,SGD,SGD,Cash,False,testing
415065,4905,0,29,0,0.05,1.0,2024-09-11 16:07:35,153,9794.62,10205.23,SGD,SGD,Cash,True,testing
415066,4908,4913,29,29,50.0,1.0,2024-09-11 16:10:55,301,202.41,9797.29,SGD,SGD,Cash,False,gium_gium
415067,4908,0,29,0,0.05,1.0,2024-09-11 16:10:55,153,202.41,9797.29,SGD,SGD,Cash,True,gium_gium
415068,4905,4909,29,29,5.23,1.0,2024-09-11 16:16:14,301,9789.34,10210.46,SGD,SGD,Cash,False,testing
415069,4905,0,29,0,0.05,1.0,2024-09-11 16:16:14,153,9789.34,10210.46,SGD,SGD,Cash,True,testing
415070,4955,4936,29,29,1.23,1.0,2024-09-11 16:16:44,301,9998.62,10001.13,SGD,SGD,Cash,False,Hello
415071,4955,0,29,0,0.05,1.0,2024-09-11 16:16:44,153,9998.62,10001.13,SGD,SGD,Cash,True,Hello
415072,4909,4905,29,29,5.23,1.0,2024-09-11 16:18:13,301,10205.18,9794.57,SGD,SGD,Cash,False,testing
415073,4909,0,29,0,0.05,1.0,2024-09-11 16:18:13,153,10205.18,9794.57,SGD,SGD,Cash,True,testing
415074,4931,4938,29,29,1.23,1.0,2024-09-11 16:41:08,301,9998.62,9920.76,SGD,SGD,Cash,False,testing
415075,4931,0,29,0,0.05,1.0,2024-09-11 16:41:08,153,9998.62,9920.76,SGD,SGD,Cash,True,testing
415076,5006,5002,29,29,1.23,1.0,2024-09-11 17:20:02,301,9998.62,10001.13,SGD,SGD,Cash,False,testing
415077,5006,0,29,0,0.05,1.0,2024-09-11 17:20:02,153,9998.62,10001.13,SGD,SGD,Cash,True,testing
415078,4935,4904,29,29,1.23,1.0,2024-09-11 20:13:03,301,9928.32,10070.53,SGD,SGD,Cash,False,testing
415079,4935,0,29,0,0.05,1.0,2024-09-11 20:13:03,153,9928.32,10070.53,SGD,SGD,Cash,True,testing
415131,4948,0,29,0,0.05,1.0,2024-09-14 16:55:46,153,9799.52,10200.08,SGD,SGD,Cash,True,testing
415132,4948,4967,29,29,1.23,1.0,2024-09-14 16:58:23,301,9798.24,10201.31,SGD,SGD,Cash,False,testing
415133,4948,0,29,0,0.05,1.0,2024-09-14 16:58:23,153,9798.24,10201.31,SGD,SGD,Cash,True,testing
415134,5002,5006,29,29,1.23,1.0,2024-09-15 09:51:18,301,9998.57,10001.08,SGD,SGD,Cash,False,testing
415135,5002,0,29,0,0.05,1.0,2024-09-15 09:51:18,153,9998.57,10001.08,SGD,SGD,Cash,True,testing
415136,5002,5006,29,29,1.23,1.0,2024-09-15 09:54:40,301,9997.29,10002.31,SGD,SGD,Cash,False,testing
415137,5002,0,29,0,0.05,1.0,2024-09-15 09:54:40,153,9997.29,10002.31,SGD,SGD,Cash,True,testing
415138,4987,4993,29,29,1.23,1.0,2024-09-15 17:27:11,301,10000.92,9998.73,SGD,SGD,Cash,False,testing
415139,4987,0,29,0,0.05,1.0,2024-09-15 17:27:11,153,10000.92,9998.73,SGD,SGD,Cash,True,testing
415140,4861,4395,29,29,1.23,1.0,2024-09-15 18:34:04,301,9975.77,1446.03,SGD,SGD,Cash,False,testing
415141,4861,0,29,0,0.55,1.0,2024-09-15 18:34:04,153,9975.77,1446.03,SGD,SGD,Cash,True,testing
415142,4861,4395,29,29,1.23,1.0,2024-09-15 18:40:53,301,9973.99,1447.26,SGD,SGD,Cash,False,testing
415143,4861,0,29,0,0.55,1.0,2024-09-15 18:40:53,153,9973.99,1447.26,SGD,SGD,Cash,True,testing
415144,4861,4395,29,29,1.23,1.0,2024-09-15 18:58:49,301,9972.21,1448.49,SGD,SGD,Cash,False,testing
415145,4861,0,29,0,0.55,1.0,2024-09-15 18:58:49,153,9972.21,1448.49,SGD,SGD,Cash,True,testing
415146,4861,4395,29,29,1.23,1.0,2024-09-15 19:01:03,301,9970.43,1449.72,SGD,SGD,Cash,False,testing
415147,4861,0,29,0,0.55,1.0,2024-09-15 19:01:03,153,9970.43,1449.72,SGD,SGD,Cash,True,testing
415148,4910,4925,29,29,1.23,1.0,2024-09-15 20:22:36,301,9998.62,10001.13,SGD,SGD,Cash,False,testing
415166,0,5012,0,29,100.0,1.0,2024-09-17 16:59:26,200,0.0,100.0,SGD,SGD,Mobile Banking,False,Payment Transfer to Friend
415167,0,5048,0,29,1000.0,1.0,2024-09-17 17:27:24,200,0.0,1000.0,SGD,SGD,Cash,False,Payment Transfer to Friend
415168,0,5049,0,33,0.0,1.0,2024-09-17 23:45:50,200,0.0,0.0,SGD,SGD,Cash,False,deposit account created via API
415169,0,5049,0,33,100.0,1.0,2024-09-17 23:47:44,200,0.0,100.0,SGD,SGD,Mobile Banking,False,Payment Transfer to Friend
415170,4909,4905,29,29,1.23,1.0,2024-09-18 14:07:56,301,10203.9,9795.8,SGD,SGD,Cash,False,testing
