CUSTOMERID,FAMILYNAME,GIVENNAME,DATEOFBIRTH,CITY,COUNTRY,POSTALCODE,CELLCOUNTRYCODE,PHONECOUNTRYCODE,CERTIFICATEEXPIRYDATE,CERTIFICATEISSUER,CERTIFICATETYPE,LASTMAINTENANCETELLERID,REGISTRATIONDATE,CUSTOMERTYPE,NATIONALITY,GENDER,ETHNICGROUP,OCCUPATION,EMAIL,ISBILLINGORG,ISMERCHANT
1852,Michelle Doe,John Doe,1/1/1900 0:00,None,Singapore,540345,65,65,31/12/2099,Singapore,IC number,API,14/9/2020 0:00,100,Singapore,Prefer to not say,Singapore,None,abc@abc.com,FALSE,FALSE
1859,AAA,EE,23/9/1996 0:00,None,TAIWAN,555,65,65,31/12/2099,TAIWAN,IC number,API,16/10/2020 0:00,100,TAIWAN,Prefer to not say,TAIWAN,PG,None,FALSE,FALSE
1862,None,KIMOKO,1/1/1900 0:00,Taipei,TW,330,65,65,31/12/2099,TW,IC number,API,19/10/2020 0:00,100,TW,Prefer to not say,TW,None,None,FALSE,FALSE
1865,None,Amy,1/1/1900 0:00,None,eaef,asefaef,65,65,31/12/2099,eaef,IC number,API,19/10/2020 0:00,100,eaef,Prefer to not say,eaef,None,None,FALSE,FALSE
1867,None,None,1/1/1900 0:00,None,None,None,None,None,31/12/2099,None,IC number,API,7/12/2020 0:00,100,Prefer to not say,Prefer to not say,Prefer to not say,None,None,FALSE,FALSE
1902,Ma,Ningzhi,31/12/1994 0:00,Singapore,Singapore,512345,65,65,31/12/2099,Singapore,IC number,API,21/8/2023 0:00,100,Singapore,Male,Singapore,Student,darientan28@gmail.com,FALSE,FALSE
1946,test13,smu,18/9/2023 0:00,Adrar,Algeria,123456,213,213,31/12/2099,Algeria,IC number,API,18/9/2023 0:00,100,Algeria,Female,Algeria,None,testing@gmail.com,FALSE,FALSE
1947,test14,smu,18/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,18/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1948,test15,smu,19/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,19/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1949,test14,smu,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1950,test13,smu,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1951,test17,smu,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1952,test19,smu,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1953,test4,sns,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1954,test20,smu,22/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,22/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1955,test23,dbs,23/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,23/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1956,test,tester,23/9/2023 0:00,Singapore,Singapore,599999,65,65,31/12/2099,Singapore,IC number,API,23/9/2023 0:00,100,Singapore,Male,Singapore,None,123@gmail.com,FALSE,FALSE
1958,test,ningzhitest,23/9/2023 0:00,Singapore,Singapore,599999,65,65,31/12/2099,Singapore,IC number,API,23/9/2023 0:00,100,Singapore,Male,Singapore,None,123,FALSE,FALSE
1959,test01,smu,24/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,None,test3@gmail.com,FALSE,FALSE
1960,test240901,smu,24/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1961,test240902,smu,24/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1962,test240903,smu,24/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1963,test,smu,24/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1965,test,testwe123,24/9/2023 0:00,Singapore,Singapore,589993,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,None,123,FALSE,FALSE
1966,test111,smu,24/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Female,Singapore,None,testing@gmail.com,FALSE,FALSE
1967,test5,dbs,24/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1968,as,asd,20/9/2023 0:00,Adam,Oman,123123,968,968,31/12/2099,Oman,IC number,API,24/9/2023 0:00,100,Oman,Female,Oman,None,ts@gmail.com,FALSE,FALSE
1969,DF123123,DF123123,29/8/2023 0:00,Singapore,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,ABBOT,DF123123@123.com,FALSE,FALSE
1971,asd,asd,7/9/2023 0:00,Ceyranbatan,Azerbaijan,1212,994,994,31/12/2099,Azerbaijan,IC number,API,24/9/2023 0:00,100,Azerbaijan,Male,Azerbaijan,None,ts@h.com,FALSE,FALSE
1972,the builder,Bob,24/9/2023 0:00,Singapore,Singapore,123,65,65,31/12/2099,Singapore,IC number,API,24/9/2023 0:00,100,Singapore,Male,Singapore,None,123,FALSE,FALSE
1973,XXXX,XXXX,19/9/2023 0:00,Singapore,Singapore,738099,65,65,31/12/2099,Singapore,IC number,API,25/9/2023 0:00,100,Singapore,Prefer to not say,Singapore,None,abc@smu.edu.sg,FALSE,FALSE
1974,Ong,Zhi Yi,22/6/1998 0:00,Singapore,Singapore,670325,65,65,31/12/2099,Singapore,IC number,API,25/9/2023 0:00,100,Singapore,Male,Singapore,None,zhiyi456@gmail.com,FALSE,FALSE
1975,test10,dbs,25/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,25/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1976,boi,sexy ,4/12/2010 0:00,Alexandria,Egypt,1782930,20,20,31/12/2099,Egypt,IC number,API,25/9/2023 0:00,100,Egypt,Prefer to not say,Egypt,ABBOT,sexybeast@gmail.com,FALSE,FALSE
1977,test11,dbs,25/9/2023 0:00,Singapore,Singapore,123456,65,65,31/12/2099,Singapore,IC number,API,25/9/2023 0:00,100,Singapore,Male,Singapore,None,testing@gmail.com,FALSE,FALSE
1978,ee,sophia,15/10/2001 0:00,Singapore,Singapore,178902,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Female,Singapore,None,sophia.ee1510@gmail.com,FALSE,FALSE
1979,215,Golden God 215,12/12/1999 0:00,Kitanagoya-shi,Japan,7382,81,81,31/12/2099,Japan,IC number,API,26/9/2023 0:00,100,Japan,Male,Japan,None,iamben@gmail.com,FALSE,FALSE
1980,Y,A,1/4/2000 0:00,Singapore,Singapore,345678,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Female,Singapore,None,aaaayyy@gmail.com,FALSE,FALSE
1981,Hi,Hi,11/11/2001 0:00,Singapore,Singapore,0,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Male,Singapore,None,ningxianjin.2020@scis.smu.edu.sg,FALSE,FALSE
1982,wan,sic,1/1/1999 0:00,Singapore,Singapore,575954,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Male,Singapore,ABBOT,sic@gmail.com,FALSE,FALSE
1983,lee,faith,26/1/2022 0:00,Singapore,Singapore,545454,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Female,Singapore,None,faithlee@gmail.com,FALSE,FALSE
1984,Ong,Zhi yi,21/10/2023 0:00,SG,Singapore,589999,Singapore,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Female,Singapore,None,darientan22222@gmail.com,FALSE,FALSE
1985,asdasdad,asdasd,6/9/2023 0:00,Singapore,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Male,Singapore,None,asdh@gmail.com,FALSE,FALSE
1986,asdasdad,asdasd,6/9/2023 0:00,Singapore,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,26/9/2023 0:00,100,Singapore,Male,Singapore,None,asdh@gmail.com,FALSE,FALSE
1987,Tang,Darient,27/9/1989 0:00,Singapore,Singapore,512512,65,65,31/12/2099,Singapore,IC number,API,27/9/2023 0:00,100,Singapore,Male,Singapore,None,darient@gamoil.com,FALSE,FALSE
1988,TAN,Darien,27/9/2023 0:00,Singapore,Singapore,589930,65,65,31/12/2099,Singapore,IC number,API,27/9/2023 0:00,100,Singapore,Male,Singapore,None,123@gmail.com,FALSE,FALSE
1989,test,dbs,2/10/2023 0:00,Singapore,Singapore,123123,65,65,31/12/2099,Singapore,IC number,API,30/9/2023 0:00,100,Singapore,Female,Singapore,None,a@gmail.com,FALSE,FALSE
